0.5	0.5	0.5	0.5
limited			7e-05	0.000163	6e-05	0.000187
180nt			0.000139	5.4e-05	0.00012	6.2e-05
placeamazing			0.000139	5.4e-05	0.00012	6.2e-05
child			7e-05	0.000217	0.000239	6.2e-05
colleges			0.000139	5.4e-05	6e-05	0.000125
yellow			7e-05	0.000108	6e-05	0.000125
sleek			0.000488	5.4e-05	0.00012	0.000374
four			0.000628	0.000433	0.000418	0.000623
facilities			0.000209	5.4e-05	6e-05	0.000187
sleep			0.000628	0.000921	0.000777	0.000809
martinis			0.000139	5.4e-05	6e-05	0.000125
thistheyre			7e-05	0.000108	0.00012	6.2e-05
6pm			7e-05	0.000108	0.00012	6.2e-05
saved			0.000139	0.000108	6e-05	0.000187
towns			0.000139	5.4e-05	6e-05	0.000125
pack			0.000209	5.4e-05	0.00012	0.000125
kimpton			0.000209	0.000596	0.000478	0.000374
looking			0.000907	0.001138	0.000777	0.001307
tvbrightness			7e-05	0.000108	0.00012	6.2e-05
buddy			0.000209	5.4e-05	0.000179	6.2e-05
paris			7e-05	0.000108	0.00012	6.2e-05
cushy			0.000139	5.4e-05	0.00012	6.2e-05
equalled			0.000139	5.4e-05	0.00012	6.2e-05
reclean			7e-05	0.000163	0.00012	0.000125
voted			0.000139	5.4e-05	0.00012	6.2e-05
under			0.000209	0.000488	0.000478	0.000249
recycle			7e-05	0.000108	0.00012	6.2e-05
sorry			7e-05	0.000163	0.000179	6.2e-05
luxirious			0.000139	5.4e-05	6e-05	0.000125
sway			7e-05	0.000108	6e-05	0.000125
worth			0.000697	0.000704	0.000717	0.000685
updated			7e-05	0.000108	6e-05	0.000125
lack			7e-05	0.000542	0.000359	0.000311
added			0.000279	0.000108	0.000239	0.000125
staffed			0.000209	5.4e-05	0.00012	0.000125
blanket			7e-05	0.000217	0.000179	0.000125
housecleaning			7e-05	0.000108	0.00012	6.2e-05
suggesting			0.000139	5.4e-05	0.00012	6.2e-05
fishbowl			0.000139	5.4e-05	6e-05	0.000125
every			0.001255	0.000813	0.001195	0.000809
showertub			0.000139	5.4e-05	6e-05	0.000125
parkingvalet			7e-05	0.000108	6e-05	0.000125
upgradenot			7e-05	0.000108	0.00012	6.2e-05
fur			7e-05	0.000108	6e-05	0.000125
bringing			0.000139	0.000108	6e-05	0.000187
tickets			0.000209	5.4e-05	0.00012	0.000125
school			0.000139	0.000108	0.00012	0.000125
basics			7e-05	0.000108	0.00012	6.2e-05
uninviting			7e-05	0.000217	0.000179	0.000125
